label,feature_0,feature_1,feature_2,feature_3,feature_4,feature_5,feature_6,feature_7,feature_8,feature_9,feature_10,feature_11,feature_12,feature_13,feature_14,feature_15,feature_16,feature_17,feature_18,feature_19,feature_20,feature_21,feature_22,feature_23,feature_24,feature_25,feature_26,feature_27,feature_28,feature_29,feature_30,feature_31,feature_32,feature_33,feature_34,feature_35,feature_36,feature_37,feature_38,feature_39,feature_40,feature_41,feature_42,feature_43,feature_44,feature_45,feature_46,feature_47,feature_48,feature_49,feature_50,feature_51,feature_52,feature_53,feature_54,feature_55,feature_56,feature_57,feature_58,feature_59,feature_60,feature_61,feature_62
fist,0.0,0.0,0.0,0.22847556325642984,-0.28677414353787434,0.010398144158892947,0.30690581976290476,-0.5986450363665443,-0.004535132797225928,0.21125244683003772,-0.768712416366556,-0.019374342102808546,0.04540419837196737,-0.7464545590259445,-0.03868457901008361,0.19847466383010712,-0.9800499804005626,-0.010480636163073164,0.10339612352130449,-0.9891097156723282,-0.030980479138302854,0.0749480300728677,-0.8152668629811999,-0.07244896330213531,0.08780539182856381,-0.6853954995609859,-0.10575593371575188,-0.03290741874404392,-0.9783496768021003,-0.035628448716550534,-0.0976950198390268,-0.9781689484923032,-0.022541293738827226,-0.10962337978291091,-0.8231544877147489,-0.037600247865782546,-0.08457122957501688,-0.6688880089419356,-0.05689797088618343,-0.24737245702936247,-0.880991627811663,-0.05510770849621903,-0.28478554913555826,-0.8812306555762334,-0.04494098955372157,-0.27209754729597846,-0.7258763089773509,-0.038374503339653206,-0.23175228411196128,-0.5841832736154879,-0.042646127164114936,-0.4262010790927005,-0.7330520973681184,-0.07325619668243455,-0.4392409181418369,-0.7264712549133121,-0.0757498511035282,-0.40801893663528815,-0.5809636862256343,-0.049299570658693545,-0.36384514825631054,-0.4723118668565199,-0.022683908780066327
fist,0.0,0.0,0.0,0.23660375912536646,-0.28627463016665666,0.014095651922402776,0.3131870290067581,-0.6006939259023274,0.003753583572255361,0.21039016545490188,-0.783000140197724,-0.00623241852874117,0.03554681311664352,-0.7669435367238117,-0.02117478951530779,0.19589062132775945,-0.9806046173084604,-0.006438088936338869,0.11313511278650487,-0.9929152006617129,-0.02183958558950912,0.08731734169842001,-0.8201947895452573,-0.05900168107168916,0.09876524992239079,-0.6868252735043244,-0.08925265403004642,-0.03826894071966586,-0.9839153210075455,-0.029601633180730978,-0.08856847115650034,-0.9821460559576383,-0.007053319114086649,-0.0966558662871774,-0.8284454651752927,-0.018458946802332243,-0.07512523986275246,-0.6735005237281616,-0.03766834193947893,-0.2530246490563312,-0.8863481491174507,-0.04642358866701426,-0.27807287974040007,-0.8889980678353777,-0.02551785231591096,-0.2615806651147698,-0.7369394186810571,-0.01671931824987597,-0.22565482903391157,-0.5934689111707888,-0.02277732019699043,-0.4302190637472649,-0.7344398123361856,-0.06146373234908914,-0.43360580782330754,-0.7319994467501066,-0.05312561857483778,-0.3983233676451559,-0.5939475529234207,-0.02324420728258115,-0.3570661580031163,-0.48464039523739816,0.0033173881410542127
fist,0.0,0.0,0.0,0.23619903500825892,-0.2810196941972648,0.01138584477600044,0.3150126947136196,-0.5903365847143505,0.001305402471206491,0.21414898218522346,-0.7719477502171807,-0.007863167154481406,0.04148271029780265,-0.7574460602926412,-0.021505688005959235,0.19263149966498413,-0.9812525714654076,-0.006041219193547591,0.13679901101579633,-0.9801839116727925,-0.02065246844390121,0.10964115149463342,-0.8047049295573335,-0.05746296537429077,0.11070013352293555,-0.6720227808271383,-0.08818551848907001,-0.038131857720848844,-0.9854304329927386,-0.028011542153948903,-0.06960160114179749,-0.9728490461203515,-0.004190560130869724,-0.07771479355746588,-0.8153762776730517,-0.014602841609912426,-0.06244064208140381,-0.661971689424203,-0.03390952776899469,-0.25060717321110687,-0.886902287585195,-0.044174675555506596,-0.26098378941365863,-0.881373938037833,-0.023078359073870243,-0.24398758242106647,-0.7264692963204812,-0.013239519783821261,-0.21307240422180693,-0.5826433486167459,-0.01894457559311458,-0.4269445436945637,-0.7320885581992674,-0.05879343801812896,-0.4217563822260805,-0.7272174168284288,-0.050102512399537495,-0.3859272458805372,-0.5879312203842109,-0.01902908992339228,-0.3483819193301686,-0.4767319488351966,0.008014146285552044
fist,0.0,0.0,0.0,0.23397372474739597,-0.2816478393533775,0.0004369285316346887,0.3094991124384956,-0.5903781884368151,-0.018320093291072998,0.20158304544248018,-0.7670328358028274,-0.03353736391682674,0.030595148965969408,-0.7550186125850454,-0.05232424160834604,0.18938982309689936,-0.9815720363554643,-0.02545255099812559,0.11938075706086443,-0.9875466424224179,-0.04667771102443033,0.09406666542400911,-0.8100287761355385,-0.08527369646313857,0.10306763948066919,-0.6782413971174504,-0.11685266646997712,-0.04378715146112488,-0.9787896785774315,-0.044826976837005886,-0.08186498872222932,-0.9773865469779268,-0.0309158962724823,-0.08767517213758917,-0.8180196003911839,-0.04200531267985619,-0.06767099925273407,-0.6626993751285059,-0.05992735892782823,-0.2574319394338157,-0.877897432405614,-0.05895108576854404,-0.2718708137035569,-0.8811940482641634,-0.04843515576414203,-0.25048770616969773,-0.7268265414862517,-0.038498636133744615,-0.21417712088370172,-0.5838383066226271,-0.04181961748330062,-0.43236889484381696,-0.7228022679355429,-0.07195190411282296,-0.4273210611339847,-0.7241537988092813,-0.07386567244953691,-0.38924934599288646,-0.5787018479374678,-0.04462915583430718,-0.34976721101418096,-0.464734794139184,-0.016847496810940575
fist,0.0,0.0,0.0,0.2359532926799077,-0.27893167852816053,-0.0010074559936291195,0.31413259466524057,-0.5866347073716228,-0.019570162670072895,0.20992682856849657,-0.76325685823955,-0.03461722346807726,0.042080075388805885,-0.754192248403394,-0.05254387139303261,0.20439382040526877,-0.9786027629130031,-0.02366006338063028,0.13519382527912982,-0.9859762120175368,-0.04760214596347038,0.10750366098347464,-0.8119891051639874,-0.08811120508001936,0.11363612705329923,-0.6773123561493197,-0.12045259087957325,-0.027744793256928864,-0.9814978057270256,-0.042794455027460994,-0.07316775208880844,-0.979429500669177,-0.032445126579018616,-0.07959089097396627,-0.8189927132793634,-0.044748408085156836,-0.057954024574311244,-0.661493035925088,-0.06245910089757715,-0.24216843252534967,-0.8853750809644078,-0.05736961526535863,-0.2653214717004615,-0.8879630914880633,-0.049995339970818974,-0.24469889275290402,-0.7309556590522165,-0.03929805543920377,-0.20745596357142262,-0.5874074004334886,-0.041016955157929996,-0.4196675681084833,-0.7334569059314962,-0.0710800740880822,-0.4224390384593039,-0.7390089027711025,-0.07574063929884314,-0.3857768706415235,-0.5919535816919971,-0.046143916038482155,-0.34614896370689574,-0.47724357195611994,-0.017271497808467703
fist,0.0,0.0,0.0,0.23181273740045458,-0.27855219064100384,0.0068308207075512975,0.3063309706127225,-0.579935255897432,-0.008838581858730347,0.20725922209854306,-0.7501456415546249,-0.022964127178017588,0.04154101367272266,-0.7325791824536835,-0.04177548945000456,0.19095764105860918,-0.9814599263184463,-0.0164800592329486,0.1228094290924586,-0.9687533077639449,-0.036370850071749304,0.09524310910754974,-0.790226465112802,-0.07742903997763619,0.10003610177852301,-0.6588788184656056,-0.1117675856202519,-0.03961346971578282,-0.9797445517053794,-0.04000976548943092,-0.07920601314011515,-0.9664270016976985,-0.024634045689896498,-0.08948401931461204,-0.8072584318529455,-0.038026706460911976,-0.07236485969342489,-0.6522047847075825,-0.058219848832647525,-0.2505112507402803,-0.8773039609106075,-0.05790920602874572,-0.27126373771455925,-0.8692162399079287,-0.046040302161463736,-0.25631335568786623,-0.7127279792264598,-0.03792742010891932,-0.2223996846059114,-0.5712118987919447,-0.04286196270206408,-0.4239663741440468,-0.720571560162216,-0.07454875030864176,-0.4283428754865679,-0.7107742774052068,-0.07555206335040583,-0.39468729533250246,-0.5668551611691268,-0.04708866485843372,-0.3548227101193137,-0.45725283776836045,-0.020214969698428256
fist,0.0,0.0,0.0,0.22752458589284713,-0.2777865911244588,0.004045120581522783,0.30713374737383126,-0.5848772199039655,-0.013043011479685349,0.2064072543223945,-0.7665553776975186,-0.02753159890791207,0.03963909856767889,-0.7546622205521325,-0.04609503689462812,0.1902960498213939,-0.9813902778173895,-0.025700895468460595,0.10746843488430571,-0.9767095795983465,-0.047730875880114834,0.08223706499995384,-0.7993957227708873,-0.087491190867734,0.09090215440806887,-0.6671568208145369,-0.11985020278131586,-0.04437194697850629,-0.9752965716086566,-0.048120468221550514,-0.09323026715974149,-0.9706487950190641,-0.03428456393294291,-0.10234460570602184,-0.8158644037261868,-0.04601409848594035,-0.0815346397910585,-0.6609987280561707,-0.06523030155217183,-0.2586905893338967,-0.87167501455855,-0.06478925095585389,-0.28439801180693997,-0.875363402424421,-0.052923803152069786,-0.269122667083758,-0.7218504269804111,-0.04150879716716398,-0.2326577380104444,-0.5784878017138851,-0.04482652535986325,-0.43497600941834447,-0.7138105571900022,-0.08049731116701257,-0.44186187412686434,-0.7193142961453078,-0.07994072076468199,-0.4076408600095491,-0.5782369563779834,-0.04896326557725668,-0.36589943862669444,-0.46766281733489534,-0.020658107123734892
fist,0.0,0.0,0.0,0.22768567458830652,-0.2948599868024997,0.012622381453804798,0.30746867294898045,-0.5851722518260837,-0.005292278199995775,0.21351398389592022,-0.742505426787086,-0.022882488270162045,0.05468288072231899,-0.7237464408698542,-0.04558935138305798,0.1935581210917919,-0.9808858984220575,-0.01995264484142975,0.11677478993259048,-0.9744204767670513,-0.03789258409493491,0.08785920583333783,-0.8008912095018804,-0.07711177668955144,0.10010616137035731,-0.6665449301665861,-0.1105392649349455,-0.04113351910925704,-0.9873003143023098,-0.04514939451398634,-0.08671655922419681,-0.9636673455297196,-0.025133844052377362,-0.09710063143615447,-0.8072572578371074,-0.03645320534522021,-0.07333985509004304,-0.6491598756647069,-0.05697569897760478,-0.2550142169374593,-0.8889479894282303,-0.0632418014605596,-0.27669548198412325,-0.8742726899943087,-0.04697041426314569,-0.26249330508153923,-0.720225869865292,-0.03930471716836338,-0.22394994129254125,-0.5752498698166394,-0.046006741311377795,-0.4301108857980836,-0.7340563495127732,-0.07952125907599761,-0.4369148802682662,-0.7198383432318173,-0.07946950213861267,-0.40398361738537514,-0.5765399641539481,-0.052317336439443876,-0.3620938057539057,-0.4621955700747153,-0.02631157316257145
fist,0.0,0.0,0.0,0.22678808044826704,-0.2889803831919897,0.005854908107902542,0.3053338628059981,-0.5867608946465066,-0.013954646171588377,0.20186330033035862,-0.755397648449399,-0.03055740893223253,0.03936767878917359,-0.7396262694361169,-0.05131916890609164,0.18787660337864362,-0.9816571280524512,-0.03242938245969593,0.10900982248784476,-0.9644351496900067,-0.052267712847492605,0.08427665290733823,-0.7870764819410683,-0.0890274511939677,0.09740589997316833,-0.655430738440668,-0.11984987063061615,-0.04632235624610174,-0.9804999050799785,-0.054122431613455334,-0.08988918432383072,-0.9516923220539294,-0.038840382734905754,-0.09681711190300321,-0.7936304927507433,-0.049152910378373486,-0.07330774922981766,-0.6379485302891876,-0.06739473237337,-0.25999514608649815,-0.8803983734038469,-0.06878240045441564,-0.27883869040810855,-0.854304449172292,-0.05583694976332782,-0.2601419796546134,-0.7024064313749975,-0.048498528773045994,-0.22073679288467374,-0.5607085490292893,-0.05449157810923617,-0.43477913810145524,-0.7270105037193789,-0.08196753695573318,-0.4360997679358701,-0.7027559243430659,-0.08369257696648918,-0.39871826757005346,-0.5607341358688818,-0.058648371910305835,-0.3556541627384062,-0.4510605093493397,-0.03381319116214893
fist,0.0,0.0,0.0,0.23074996399111014,-0.2821688045192407,0.006602908589592565,0.30603606353507895,-0.5779391217212069,-0.010650674439238643,0.21839809608089222,-0.7512784404321678,-0.025552510207111686,0.06691669567226621,-0.7447187470286039,-0.04404461530890673,0.19821023399667312,-0.979819143725302,-0.02582922237311995,0.10024857238778731,-0.9619254358976828,-0.05093115253491137,0.07899012429976218,-0.7854102868246872,-0.09298840025209648,0.09501907122873585,-0.6545507776839613,-0.12645707909829676,-0.03148450016335133,-0.9756767436992086,-0.04842307574601352,-0.09483740480806294,-0.9510590603938284,-0.03934147956549514,-0.09910729004164605,-0.7929281474581797,-0.053543476549408185,-0.07034546827552485,-0.638676261699515,-0.07311489151846214,-0.24426194728948486,-0.8741869289730438,-0.06512164144363126,-0.28098522026334144,-0.8547419579615605,-0.058079577697097394,-0.2610355237258419,-0.7008116826126994,-0.051984444735712766,-0.21776936221668136,-0.5622824895459249,-0.05753449241878101,-0.4202691837062769,-0.7200436953798532,-0.08044114858531454,-0.4334604258121717,-0.6952217460033814,-0.08682755083929419,-0.3971752383695072,-0.547418293830835,-0.06350196814008055,-0.35220425194927907,-0.44063349690722614,-0.039038924029211476
